link;name;price;average rating;number of ratings
https://www.airbnb.com/experiences/742435?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;World Trade Center Tour & Museum Ticket;63;New;0
https://www.airbnb.com/experiences/3664407?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;West Village Speakeasy experience;28;New;0
https://www.airbnb.com/experiences/4288140?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Walk-N-Dine, Hudson Yards at sunset;160;New;0
https://www.airbnb.com/experiences/3646788?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Visit Tribeca art galleries with an expert;48;New;0
https://www.airbnb.com/experiences/3417662?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Two hour nyc ferry experience;45;New;0
https://www.airbnb.com/experiences/4823601?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Times Square Donut Adventure by Underground Donut Tour;83;New;0
https://www.airbnb.com/experiences/2336395?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Steakhouse;124;New;0
https://www.airbnb.com/experiences/4164596?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;The New York City Scavenger Hunt;23;New;0
https://www.airbnb.com/experiences/4029481?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Luxury Rooftop and Bar Crawl Lower East Side;33;New;0
https://www.airbnb.com/experiences/1495556?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;The French Connection;124;New;0
https://www.airbnb.com/experiences/1216588?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;The Flavors of Little Levant and Little Yemen in Bay Ridge;78;New;0
https://www.airbnb.com/experiences/3674134?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Terrarium Workshop, Sip and Plant;109;New;0
https://www.airbnb.com/experiences/3623131?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Teen Vintage Tour With Nyc Personal Stylist & Photoshoot;457;New;0
https://www.airbnb.com/experiences/4466692?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Super stylish walking tour;60;New;0
https://www.airbnb.com/experiences/4863367?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Storybook Photo Shoot in Central Park;137;New;0
https://www.airbnb.com/experiences/3482610?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;SoHo Photo Shoot;147;New;0
https://www.airbnb.com/experiences/700707?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Snacking in Flushing – From Anhui to Zhejiang;78;New;0
https://www.airbnb.com/experiences/669902?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;Rising Star Energy Healing Session;147;New;0
https://www.airbnb.com/experiences/1207128?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Puerto Rican Cooking Class;115;New;0
https://www.airbnb.com/experiences/1236643?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Private Yacht Charter NYC Skyline;293;New;0
https://www.airbnb.com/experiences/4560533?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Private NewYorkCity Helicopter Tour from Westchester for Two;794;New;0
https://www.airbnb.com/experiences/4588803?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Private NewYorkCity Helicopter Tour from Westchester for Six; 1,607;New;0
https://www.airbnb.com/experiences/278796?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Play with a Dolphin on Rockaway Beach;23;New;0
https://www.airbnb.com/experiences/4696077?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Play tennis in New York whit beautiful views and places;51;New;0
https://www.airbnb.com/experiences/3656164?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Picture The City;110;New;0
https://www.airbnb.com/experiences/4815713?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Peekskill Café and Bakery Tour;42;New;0
https://www.airbnb.com/experiences/4816017?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Peekskill Bar and Pub Tour;42;New;0
https://www.airbnb.com/experiences/820923?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Peace of Heaven in the Great South Bay;183;New;0
https://www.airbnb.com/experiences/3777246?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Parisian Picnic in Central Park;110;New;0
https://www.airbnb.com/experiences/579300?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Niagara Falls Tour from New York City;183;New;0
https://www.airbnb.com/experiences/3166506?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;New York smoke shop tour;19;New;0
https://www.airbnb.com/experiences/4619112?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;New York City Running Tour - Two Bridges Experience;42;New;0
https://www.airbnb.com/experiences/1154871?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Music Production sessions/writing camps with Tweek Tune;457;New;0
https://www.airbnb.com/experiences/4020137?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Mosaic Lamp Workshop and Sip;136;New;0
https://www.airbnb.com/experiences/1395119?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Midtown Manhattan Guided Walking Tour;86;New;0
https://www.airbnb.com/experiences/4296630?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Mexican Churros & Chocolate dipping Sauce Class in Manhattan;69;New;0
https://www.airbnb.com/experiences/661879?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;Learn to make Donuts from Scratch;87;New;0
https://www.airbnb.com/experiences/3896425?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;Intro Sailing Lesson with Brooklyn Sail;169;New;0
https://www.airbnb.com/experiences/4625130?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Indian Chicken Masala, Rice, Naan making class in Manhattan;115;New;0
https://www.airbnb.com/experiences/1597047?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;In FRENCH PLEASE Grand Central Terminal;42;New;0
https://www.airbnb.com/experiences/3773041?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Hell Gate Walking Tour;36;New;0
https://www.airbnb.com/experiences/4449831?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Get A Taste Of Japan At Japan Village;29;New;0
https://www.airbnb.com/experiences/4553917?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Fifth Avenue Gilded Age Mansions Tour;36;New;0
https://www.airbnb.com/experiences/2481370?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Experience the hidden gems in New York like a Vip local;64;New;0
https://www.airbnb.com/experiences/681535?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Experience the art of miniature nature with Bonsai making;119;New;0
https://www.airbnb.com/experiences/4215483?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Experience New York City from a local's perspective;69;New;0
https://www.airbnb.com/experiences/1215456?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;Ethnic Eats in Elmhurst;78;New;0
https://www.airbnb.com/experiences/4390788?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Empanada Cooking Class From Scratch;87;New;0
https://www.airbnb.com/experiences/1182860?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Downtown Rooftop Bar & Lounge Tour;32;New;0
https://www.airbnb.com/experiences/4496855?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Come and explore the real Coney Island with me;45;New;0
https://www.airbnb.com/experiences/1515347?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=d4df3687-e0a1-4c25-9fb3-110f821c28b9&searchId=d9408c50-3327-4fe8-8182-903091d20391&sectionId=20026021-560f-49d9-822d-a8c752528e62;Coffee shops, streets of SoHo & portraits;42;New;0
https://www.airbnb.com/experiences/3762084?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Central Park Photo Session & Walk;63;New;0
https://www.airbnb.com/experiences/4682316?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Central Park Pedicab Tour;35;New;0
https://www.airbnb.com/experiences/4134708?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Brooklyn Heights, Brooklyn Bridge, and Dumbo Food Tour;72;New;0
https://www.airbnb.com/experiences/4581340?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Brooklyn Dyker Heights – Christmas Wonderland Tour;55;New;0
https://www.airbnb.com/experiences/1137127?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;Brooklyn Bridge & Central Park Photo Shoot;70;New;0
https://www.airbnb.com/experiences/3898172?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;Beginner's Outdoor Yoga Trapeze;69;New;0
https://www.airbnb.com/experiences/4464922?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;Beautiful walking tour Soho Chinatown and TriBeCa;60;New;0
https://www.airbnb.com/experiences/1512267?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=69f70cf7-e2ea-4e20-836f-e068024601d5&searchId=7f1443a3-f903-4178-92a2-5c8c861257bc&sectionId=95eff172-d529-4ba3-b3d3-8e1d13666374;At Home Kimchi Making with Soju Cocktails;92;New;0
https://www.airbnb.com/experiences/1234128?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;Aprende Street Photography en New York;137;New;0
https://www.airbnb.com/experiences/1063170?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;An Insomniac's Food & Cocktail Crawl;63;New;0
https://www.airbnb.com/experiences/661863?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;All Natural Soap Making Class;273;New;0
https://www.airbnb.com/experiences/201641?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=de02390f-9f6a-4820-b060-46b3740838d7&searchId=4ba4fbb7-b0b5-4b36-994b-d8e7370fcf22&sectionId=5012704f-97e2-46e4-a5c6-4826b26ea510;A walk in the NYC flower market;119;New;0
https://www.airbnb.com/experiences/1364471?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=824c79c9-25b7-4fe5-98b8-0e0a8200beb2&searchId=dd8dbb46-122d-4c42-baa0-e43814d9c940&sectionId=dcb60c61-e762-49ab-b0ba-da424a51c2d8;A Tour of Classic Italian dishes;124;New;0
https://www.airbnb.com/experiences/3358733?location=New%20York%2C%20New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=222d4c87-5386-4ee4-a8a4-b74398f18817&searchId=66213392-7e53-4a3a-aefe-e74ee1bb0d87&sectionId=47c12fc5-6181-41c2-ad06-8217a0aa1cca;A Hip Hop Dance Experience with a B Boy;30;New;0
